Timestamp start: 1778531971715
Timestamp end: 1778533052065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.5   315.6   101.3   151.5   170.1   318.5   383.7   417.6   440.7   467.6   503.7   566.2   934.7  3868.2 12008.1  29385.8    29420
read      471.2   596.3    86.8   168.9   193.1   338.3   409.5   454.7   491.0   539.8   620.8  1377.7  3487.6  6757.0  8985.8 103874.0   103882
read      350.3   304.2    86.8   149.2   165.3   291.7   361.8   405.6   443.5   494.8   568.1   698.9  1253.0  4059.2  8279.9  70270.2    70314
read      312.6   185.6    93.8   144.3   159.2   279.9   345.9   384.8   413.4   448.5   495.0   570.1   793.2  2279.4  4944.7  61703.2    61679
read      310.1   195.6    93.8   145.6   161.1   284.5   344.4   378.1   401.6   430.5   467.4   530.6   780.8  2340.8  6413.7  49584.0    49557
read      266.5   132.6   101.3   158.2   174.7   262.4   289.0   303.6   314.3   327.5   344.9   374.6   466.9  1179.2  7582.3  19388.6    19325
read      234.0    75.5   101.3   159.5   174.5   230.9   249.2   259.3   266.9   274.5   288.1   308.1   359.7   895.2  3797.0   9104.8     9128
read      278.4   145.4    86.8   145.9   161.1   257.6   311.2   340.3   360.9   383.8   411.6   454.7   574.3  1727.2  4731.1  95025.4    94933
read      262.7    76.1    93.8   154.9   170.4   264.6   292.5   307.2   317.1   329.8   344.6   369.4   423.6   588.8  1954.8  24349.6    24327
read      274.7   127.4    86.8   140.7   155.2   256.9   313.3   342.5   362.4   384.3   410.2   451.3   558.7  1085.6  3654.9  71892.4    71896
read      279.3   142.5    86.8   145.1   160.6   259.1   313.4   342.9   363.7   387.0   415.3   458.0   571.8  1464.4  3974.9  93952.6    93771
read      260.4   111.9    93.8   156.1   172.6   259.5   285.7   299.1   310.3   321.6   339.2   366.1   430.8   702.9  4041.8  20395.4    20452
read      270.5   107.9    86.8   143.4   158.1   267.4   310.4   331.4   345.4   362.6   383.0   413.7   486.2   901.5  2956.6  42280.8    42338
read      274.0   126.0    86.8   140.3   154.6   256.8   313.3   342.0   361.6   383.1   408.6   449.7   561.9  1179.0  3019.1  72679.6    72627
read      284.3   188.9    86.8   140.7   155.5   258.0   315.4   345.7   366.7   390.6   420.6   468.1   744.6  1965.0  7690.0  80621.6    80603
read      268.9   131.8    86.8   139.9   154.0   263.7   310.4   333.0   347.8   365.5   387.1   419.6   497.0   771.3  3988.7  49099.0    49049
read      271.7   120.8    86.8   140.4   154.7   252.5   306.8   335.9   356.1   378.6   405.5   449.1   572.6  1197.5  2975.0  92479.2    92305
read      268.8   113.8    86.8   139.1   153.1   258.7   310.0   334.8   351.3   369.9   393.4   427.6   508.5  1016.8  3262.8  56817.2    56889
read      273.3   122.4    86.8   139.6   154.3   255.1   311.9   341.1   361.1   383.1   409.2   451.0   551.7  1262.5  2907.0  78055.0    78036
read      267.2   117.5    86.8   137.7   151.2   251.1   307.8   336.6   355.9   376.5   401.2   436.0   522.6   875.5  2347.5  71454.8    71583
read      272.4   111.5    86.8   139.5   153.7   256.2   313.9   343.0   362.8   384.5   409.9   448.8   537.9   925.8  2279.3  72439.8    72609
read      293.5   153.6    86.8   151.8   168.8   273.4   325.7   354.6   374.6   398.5   428.9   476.6   632.8  1932.3  5395.9 107495.6   107382
read      284.3   141.0    86.8   145.7   161.5   265.2   320.0   349.7   370.2   393.5   422.2   464.9   590.7  1583.7  3269.1  86285.8    86530
read      249.7    92.9    93.8   153.5   168.3   250.0   272.3   284.5   292.6   303.0   316.4   339.2   397.0   883.1  4208.5  16636.6    16550
read      281.4   341.4    86.8   141.2   155.5   256.0   313.7   344.2   365.8   390.4   421.9   474.4   735.2  1442.4  2969.9  84527.6    84534
read      265.5   114.9    80.4   135.1   149.0   248.6   305.7   334.4   353.6   374.5   400.1   437.1   539.4   918.8  3142.9  72714.0    72631
