Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      334.1   143.2    80.4   148.3   169.0   311.8   390.1   431.3   459.8   492.0   530.7   585.3   692.4   858.9  2287.2  65059.5    65000  1778110536229  1778110538430
read      523.1   316.0    80.4   181.4   216.5   478.4   602.8   658.8   698.9   747.6   829.7  1135.6  1451.3  1783.5  7639.4  74866.8    75000  1778110539934  1778110542135
read      907.3   385.1   137.8   655.7   693.6   798.3   846.9   871.7   917.9  1300.8  1480.3  1583.9  1726.1  7157.7  8622.6  72576.0    85000  1778110543639  1778110545841
read      940.3   390.0   148.8   701.6   728.8   834.2   871.5   908.2   932.8  1076.9  1533.5  1649.6  1788.5  7171.7  9051.0  70171.5    95000  1778110547346  1778110549546
read      775.5   334.0   127.6   525.3   557.7   670.9   724.6   771.9   974.9  1164.4  1253.8  1345.0  1475.8  5022.4  7511.6  84386.4   105000  1778110551051  1778110553251
read      951.4   407.5   137.8   680.0   716.5   843.3   894.5   928.3   965.2  1256.3  1535.5  1662.5  1842.7  7199.6  8003.6  69346.1   115000  1778110554755  1778110556957
read      989.3   424.8   160.7   727.9   761.2   871.7   919.2   941.7   986.1  1249.2  1618.2  1721.9  1871.7  7268.0  9832.8  67023.0   125000  1778110558461  1778110560664

Memcached with T =2 threads, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      243.8    91.4   101.3   162.7   174.8   232.3   256.0   271.1   283.1   297.5   318.8   358.4   441.9  1040.1  4074.2   4960.0     5000  1778110972497  1778110974754
read      284.8   109.0    93.8   161.2   179.7   273.0   314.8   339.6   357.1   375.9   399.9   434.0   507.6   934.8  4389.3  15124.0    15000  1778110976257  1778110978497
read      297.9   109.7    74.4   147.1   166.0   286.5   343.2   372.1   391.0   411.6   436.6   475.2   559.8   691.6  2035.9  25155.5    25000  1778110980000  1778110982201
read      322.8   128.4    74.4   144.4   163.8   311.1   380.9   415.2   438.3   464.3   496.4   542.2   640.0   771.0  1286.2  34871.9    35000  1778110983705  1778110985908
read      313.9   147.8    80.4   135.2   152.0   289.8   371.4   412.1   439.3   469.0   504.4   555.5   666.0   960.2  2979.1  44943.5    45000  1778110987413  1778110989612
read      336.8   172.5    80.4   140.3   157.3   298.0   395.8   448.4   482.4   519.2   563.8   628.9   792.3  1180.8  3279.5  54923.0    55000  1778110991116  1778110993317
read      346.3   192.7    80.4   137.0   154.2   284.9   399.6   471.3   516.6   562.4   616.9   699.9   920.9  1187.0  2567.2  64931.5    65000  1778110994821  1778110997022
read      837.0  1123.4    80.4   215.6   250.1   411.8   548.6   624.9   686.1   957.5  3263.4  3484.9  3752.0  8105.7 14694.2  73161.5    75000  1778110998526  1778111000725
read      916.6  1206.2   101.3   255.2   281.0   418.2   590.0   658.1   712.3  1754.6  3379.7  3593.9  3989.7  8098.1 10585.2  72850.5    85000  1778111002229  1778111004427
read      941.7  1206.9    93.8   268.4   293.5   427.2   617.3   680.7   732.5  2776.6  3398.1  3610.0  4012.6  8032.6 11041.0  71179.5    95000  1778111005931  1778111008132
read      890.5  1168.9    86.8   244.4   269.0   421.2   569.2   632.0   684.0   873.2  3377.0  3584.1  3771.5  7999.6  9935.5  75172.5   105000  1778111009636  1778111011842
read      886.6  1189.7    86.8   231.6   258.8   420.3   538.2   624.8   705.0   872.4  3366.7  3582.4  4007.3  7994.3  9487.5  75727.5   115000  1778111013346  1778111015548
read      941.9  1214.2    93.8   258.3   284.1   436.9   593.3   678.7   752.5  3103.0  3405.0  3617.7  3999.4  8016.2 10869.2  71243.9   125000  1778111017052  1778111019251
run 2
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      247.7   125.0   101.3   166.1   178.5   235.2   260.7   273.7   285.3   298.2   319.7   364.0   452.0  1044.8  7547.1   4910.0     5000  1778111053355  1778111055610
read      285.0   113.9    86.8   156.7   176.4   273.0   316.2   340.4   357.5   376.3   400.2   437.8   526.8  1011.6  4743.6  15078.5    15000  1778111057114  1778111059351
read      295.9   117.8    86.8   147.2   166.0   285.8   340.5   367.6   386.1   405.8   433.3   470.1   549.0   698.4  2915.3  25238.5    25000  1778111060855  1778111063055
